"","scores","predscores","tmhalfsc","opphalfsc","airya","yaca","airyd","yac","psd","patt","comppct","ryd","ratt","rushsd","ypr","int_pct","sack_pct","sack_yd_pct","fum_pct"
"1444",6,19,3,14,1.33333333333333,1.3,16,13,3.86781592116274,12,0.416666666666667,55,17,5.33059329845138,3.23529411764706,0.25,0.0769230769230769,-0.461538461538462,0
"1445",24,15.25,14,16,2.6,2.36842105263158,52,45,7.62078663189627,20,0.6,44,11,3.21926021993196,4,0.1,0.0476190476190476,-0.476190476190476,0
"1446",27,23,14,10,2.66666666666667,0.730769230769231,32,19,3.88087934491604,12,0.583333333333333,67,12,6.38302871335822,5.58333333333333,0,0.0769230769230769,-0.538461538461538,0.04
"1447",17,27.5,10,24,2.19047619047619,6,46,78,7.99305253885453,21,0.571428571428571,77,17,4.86424707986542,4.52941176470588,0.0476190476190476,0.0454545454545455,-0.181818181818182,0
"1448",19,20.25,16,10,5.07692307692308,3.72727272727273,66,41,14.1940911023645,13,0.461538461538462,129,16,6.99525508827234,8.0625,0,0.133333333333333,-1.2,0.032258064516129
"1449",17,26,10,21,2,2.45,40,49,5.45371942398539,20,0.6,43,13,3.51665521558845,3.30769230769231,0,0,0,0
"1450",9,16,3,10,2.33333333333333,3.54545454545455,28,39,5.49953615854862,12,0.583333333333333,90,19,4.30228954056543,4.73684210526316,0,0.2,-1,0.0294117647058824
"1451",30,28,13,7,2.66666666666667,6.7,40,134,17.1529071070248,15,0.6,26,8,2.63391343821318,3.25,0,0.0625,-0.5,0
"1452",18,24.5,7,20,3.33333333333333,1.89473684210526,50,36,5.12317417039934,15,0.6,52,13,3.41940165706044,4,0.0666666666666667,0.0625,-0.0625,0.0344827586206897
"1453",44,22.5,14,6,1.07142857142857,5,15,85,4.35748256691724,14,0.642857142857143,131,19,6.27354291610583,6.89473684210526,0.0714285714285714,0.125,-0.75,0.0285714285714286
"1454",21,25.75,14,10,0.785714285714286,7.4,11,185,18.8698438233378,14,0.928571428571429,65,16,2.79438611326352,4.0625,0,0,0,0
"1455",24,23.5,10,14,4.29166666666667,4.38461538461539,103,57,6.23698645180507,24,0.833333333333333,31,14,3.00424869211616,2.21428571428571,0,0.0769230769230769,-0.5,0.05
"1456",27,11,6,10,5.7,2.23076923076923,57,29,6.54029893843406,10,0.7,62,18,3.8329307357023,3.44444444444444,0,0.0909090909090909,0,0.0689655172413793
"1457",17,21.25,14,14,3.69230769230769,5.10526315789474,96,97,10.8496799747991,26,0.576923076923077,14,4,1.80277563773199,3.5,0,0,0,0
"1458",14,19.5,0,17,1.5,1.375,21,33,6.29814787589706,14,0.428571428571429,23,11,3.77683237778927,2.09090909090909,0.0714285714285714,0.0666666666666667,-0.4,0.0384615384615385
"1459",6,22.25,3,13,3.33333333333333,2.14285714285714,40,30,7.32900305050323,12,0.583333333333333,44,12,3.09120616516523,3.66666666666667,0,0.294117647058824,-2.29411764705882,0.0344827586206897
"1460",26,30,16,9,5.23809523809524,5.64705882352941,110,96,9.51045495560564,21,0.904761904761905,22,8,2.77263412660235,2.75,0,0,0,0
